DeployedFromStation_Name,Adresse caserne ,,Latitude,Longitude
Harrow,"500 Pinner Road, HA5 5RW",,51.5908175,-0.3663073
Stanmore,"650 Honeypot Lane, HA7 1JS",,51.6036204,-0.2975574
Hayes,"65 Shepiston Lane , UB3 1LL",,51.4944658,-0.4316361
Heathrow,"Building 450, Heathrow airport Northern Perimetre Road, Longford, TW6 2RR",,51.48016029999999,-0.4586654
Hillingdon,"Uxbridge Road, UB10 0PH",,51.5315875,-0.4503519
Ruislip,"Bury Street, HA4 7TW",,51.5879504,-0.4361179
Chiswick,"2-4 Heathfield Gardens, W4 4JY",,51.49106279999999,-0.2690143
Feltham,"101 Faggs Road, NW1 0LH",,51.4606246,-0.4138544
Heston,"520 London Road, Isleworth Middlesex, TW7 4HR",,51.4749688,-0.3432177
Bexley,"172 Erith Road Bexleyheath, DA7 6BY",,51.4610303,0.1536076
Erith,"52 Erith Road Bexleyheath, DA17 6HR",,51.4567387,0.1533379
Sidcup,"156 - 158 Main Road, DA14 6NZ",,51.4271022,0.0945972
Beckenham,"8 Beckenham Road, BR3 4LR",,51.4079628,-0.0337688
Biggin Hill,"2 Kingsmead, TN16 3UB",,51.31523499999999,0.034993
Bromley,"4 South Street Bromley Kent, BR1 1RH",,51.40705029999999,0.0173021
Orpington,"Avalon Road, BR6 9AX",,51.3719854,0.1110453
Addington,"197-199 Lodge Lane, CR0 0QA",,51.3525,-0.0252723
Croydon,"9V9V+JW Croydon, Royaume-Uni",,51.3690625,-0.1051875
Norbury,"1321/1325A London Road, SW16 4AU",,51.4069006,-0.121039
Purley,"128 Brighton Road, CR8 4DB",,51.3317154,-0.1249409
Woodside,"2 Long Lane Addiscombe Road Croydon, CR0 7AL",,51.3859577,-0.0623461
East Greenwich,"325 Woolwich Road, SE7 7RF",,51.4873833,0.0268288
Eltham,"266 Eltham High St, SE9 1BA",,51.4505195,0.0629235
Greenwich,"4 Blisset Street, SE10 8UP",,51.4742752,-0.012964
Lee Green,"9 Eltham Road, Se12 8ES",,51.4564524,0.0126902
Plumstead,"1 Lakedale Road Plumstead, SE12 8ES",,51.4874842,0.09147749999999999
Deptford,"186 Evelyn Street, SE8 5DB",,51.4850804,-0.0337247
Forest Hill,"155 Stanstead Road, SE23 1HP",,51.4425575,-0.0449459
Lewisham,249/259 Lewisham High Street SE13 6NH,,51.4571114,-0.0132488
New Cross,"266 Queen's Road, SE14 5JN",,51.4736774,-0.0494155
Dockhead,"8 Wolseley Street, SE1 2BP",,51.5006591,-0.0707975
Old Kent Road,"405 Old Kent Road, SE1 5AA",,51.4868304,-0.0737976
Peckham,"78-80 Peckham Road, SE5 8PR",,51.4738876,-0.0779807
Sutton,"43 St Dunstans Hill, SM1 2JX",,51.3689081,-0.2110963
Wallington,"19 Belmont Road, SM6 8TE",,51.3623574,-0.1482534
Hammersmith,"190-192 Shepherd's Bush Road, London, W6 7NL",,51.4961533,-0.2242178
Fulham,"685 Fulham Rd, Fulham, London, SW6 5UJ",,51.4779487,-0.2008235
Chelsea,"264 Kings Road, SW3 5UF",,51.4871072,-0.1702404
Kensington,"13 Old Court Kensington High Street , W8 4PL",,51.5024346,-0.1900998
North Kensington,"242 Ladbroke Grove, W10 5LP",,51.5218389,-0.2122555
Kingston,"390 Richmond Road, KT2 5PR",,51.4293759,-0.3066404
Surbiton,"31/33 Ewell Road Surbiton, Oakhill KT6 6AF",,51.39223459999999,-0.2980449
New Malden,"180 Burlington Road, KT3 4RW",,51.3990879,-0.2454356
Brixton,"84 Gresham Road Brixton, SW9 7NP",,51.4634811,-0.1085393
Clapham,"29 Old Town, SW4 0JT",,51.4648828,-0.1409434
Lambeth,"8 Albert Embankment, Lambeth, London, SE1 7SD",,51.4925682,-0.121067
Lambeth River,Opposite 8 Albert Embankment SE1 7SD,,51.4925682,-0.121067
West Norwood,"210 Knight's Hill, SE27 0QA",,51.4258523,-0.1053136
Mitcham,"417-429 London Road, CR4 4BJ",,51.3974577,-0.1728128
Wimbledon,"87 Kingston Road, SW19 1JN",,51.415578,-0.1974184
Richmond,"323 Lower Richmond Road, Richmond, Surrey, TW9 4PN",,51.46741240000001,-0.2849489
Twickenham,"30 South Road, TW2 5NT",,51.4351808,-0.3476203
Wandsworth,"45 West Hill Wandsworth, SW18 1RL",,51.4565061,-0.2014729
Battersea,"11 Este Road, SW11 2TL",,51.4671433,-0.1693147
Tooting,"91 Trinity Road, SW17 7SQ",,51.4380536,-0.1628136
Paddington,"156 Harrow Rd, London, W2 6NL, UK",,51.5202041,-0.183022
Soho,"126 Shaftesbury Ave, London, W1D 5ET",,51.5125987,-0.1300571
